,cliente,produc,mes,ventas_totales,unidades_totales,dias_con_venta,dias_mes,frecuencia_pct,descrip,depo,tipo_negocio,lista_precios,condi_venta,vende,linea_nume,sin_venta
19740,296,000-000-3313,2022-01,0.0,,,,,,,,,,,,True
19741,296,000-000-3313,2022-02,0.0,,,,,,,,,,,,True
19742,296,000-000-3313,2022-03,203.2680273698627,84.0,2.0,31.0,0.06451612903225806,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19743,296,000-000-3313,2022-04,155.28203687249376,56.0,1.0,30.0,0.03333333333333333,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19744,296,000-000-3313,2022-05,81.2564117426144,28.0,1.0,31.0,0.03225806451612903,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19745,296,000-000-3313,2022-06,184.88492111999994,56.0,2.0,30.0,0.06666666666666667,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19746,296,000-000-3313,2022-07,222.183534203646,62.0,3.0,31.0,0.0967741935483871,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19747,296,000-000-3313,2022-08,196.09904940454516,56.0,2.0,31.0,0.06451612903225806,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19748,296,000-000-3313,2022-09,93.37587281753405,28.0,1.0,30.0,0.03333333333333333,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19749,296,000-000-3313,2022-10,480.0957800703179,112.0,3.0,31.0,0.0967741935483871,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19750,296,000-000-3313,2022-11,0.0,,,,,,,,,,,,True
19751,296,000-000-3313,2022-12,0.0,,,,,,,,,,,,True
19752,296,000-000-3313,2023-01,419.704260337726,56.0,1.0,31.0,0.03225806451612903,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19753,296,000-000-3313,2023-02,509.99822186278055,56.0,1.0,28.0,0.03571428571428571,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19754,296,000-000-3313,2023-03,295.3355618186151,28.0,1.0,31.0,0.03225806451612903,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19755,296,000-000-3313,2023-04,583.2579347522623,56.0,1.0,30.0,0.03333333333333333,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19756,296,000-000-3313,2023-05,279.10277229993784,28.0,1.0,31.0,0.03225806451612903,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19757,296,000-000-3313,2023-06,752.2319007862162,56.0,2.0,30.0,0.06666666666666667,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19758,296,000-000-3313,2023-07,361.59675647613307,28.0,1.0,31.0,0.03225806451612903,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19759,296,000-000-3313,2023-08,1809.6453158728523,84.0,3.0,31.0,0.0967741935483871,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19760,296,000-000-3313,2023-09,1655.2377082356109,56.0,2.0,30.0,0.06666666666666667,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19761,296,000-000-3313,2023-10,1982.9816644715404,56.0,2.0,31.0,0.06451612903225806,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19762,296,000-000-3313,2023-11,2459.8455265634925,56.0,2.0,30.0,0.06666666666666667,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19763,296,000-000-3313,2023-12,4241.268389953317,56.0,2.0,31.0,0.06451612903225806,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19764,296,000-000-3313,2024-01,3446.2184945541035,28.0,1.0,31.0,0.03225806451612903,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19765,296,000-000-3313,2024-02,0.0,,,,,,,,,,,,True
19766,296,000-000-3313,2024-03,4126.010478334496,28.0,1.0,31.0,0.03225806451612903,alf. tatin blanco x 33  gr.,1.0,1.0,3.0,00,2.0,18.0,False
19767,296,000-000-3313,2024-04,0.0,,,,,,,,,,,,True
